Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
H,300.8,309.9,2041.0,19.2,194.0,0,0,0,0,0,0
L,300.9,310.0,1671.0,26.8,199.0,0,0,0,0,0,0
M,300.9,310.0,1416.0,46.6,201.0,0,0,0,0,0,0
M,300.9,310.0,1600.0,36.0,204.0,0,0,0,0,0,0
L,300.9,310.0,2595.0,13.7,207.0,0,0,0,0,0,0
M,300.9,309.9,1465.0,42.9,209.0,0,0,0,0,0,0
M,301.0,310.1,1681.0,27.4,212.0,0,0,0,0,0,0
L,301.1,310.1,1457.0,39.6,215.0,0,0,0,0,0,0
H,301.0,310.1,1454.0,44.1,217.0,0,0,0,0,0,0
L,301.0,310.1,1558.0,32.6,0.0,0,0,0,0,0,0
H,301.0,310.1,1756.0,30.7,2.0,0,0,0,0,0,0
L,301.1,310.1,1564.0,36.8,7.0,0,0,0,0,0,0
L,301.1,310.2,1455.0,55.3,9.0,0,0,0,0,0,0
M,301.2,310.1,2280.0,15.7,11.0,0,0,0,0,0,0
M,301.1,310.0,1433.0,48.1,14.0,0,0,0,0,0,0
L,301.1,310.0,1513.0,38.0,17.0,0,0,0,0,0,0
L,301.0,309.9,1507.0,41.8,19.0,0,0,0,0,0,0
L,301.0,310.0,1480.0,43.5,21.0,0,0,0,0,0,0
H,301.1,310.0,1470.0,40.1,23.0,0,0,0,0,0,0
L,301.1,310.1,1540.0,36.6,28.0,0,0,0,0,0,0
H,301.0,310.0,1212.0,67.9,30.0,0,0,0,0,0,0
L,301.1,310.1,1417.0,46.9,35.0,0,0,0,0,0,0
M,301.2,310.1,1666.0,34.9,37.0,0,0,0,0,0,0
L,301.1,310.1,1666.0,27.2,40.0,0,0,0,0,0,0
L,301.1,310.1,1489.0,45.8,42.0,0,0,0,0,0,0
M,301.1,310.2,1850.0,27.7,44.0,0,0,0,0,0,0
L,301.1,310.4,1874.0,24.8,47.0,0,0,0,0,0,0
L,301.1,310.4,1312.0,73.6,49.0,1,0,0,1,0,0
L,301.2,310.4,1515.0,38.4,51.0,0,0,0,0,0,0
L,301.2,310.4,1516.0,44.4,53.0,0,0,0,0,0,0
L,301.2,310.5,1546.0,40.0,55.0,0,0,0,0,0,0
L,301.3,310.6,1481.0,40.9,57.0,0,0,0,0,0,0
H,301.3,310.6,1605.0,32.5,59.0,0,0,0,0,0,0
H,301.2,310.7,1656.0,26.2,64.0,0,0,0,0,0,0
H,301.2,310.6,1352.0,52.0,69.0,0,0,0,0,0,0
L,301.3,310.7,1504.0,47.2,74.0,0,0,0,0,0,0
L,301.3,310.6,1436.0,44.2,76.0,0,0,0,0,0,0
H,301.2,310.5,1505.0,43.6,78.0,0,0,0,0,0,0
L,301.3,310.5,1406.0,47.1,83.0,0,0,0,0,0,0
M,301.3,310.5,1481.0,39.7,85.0,0,0,0,0,0,0
L,301.4,310.7,1487.0,44.6,88.0,0,0,0,0,0,0
L,301.4,310.7,1436.0,54.1,90.0,0,0,0,0,0,0
M,301.4,310.7,1368.0,63.7,92.0,1,0,0,1,0,0
L,301.4,310.7,1509.0,38.3,95.0,0,0,0,0,0,0
L,301.4,310.8,1543.0,36.9,97.0,0,0,0,0,0,0
L,301.4,310.8,1698.0,29.6,99.0,0,0,0,0,0,0
M,301.4,310.7,1470.0,46.5,101.0,0,0,0,0,0,0
M,301.4,310.8,1738.0,30.3,104.0,0,0,0,0,0,0
M,301.4,310.8,1530.0,39.9,107.0,0,0,0,0,0,0
L,301.4,310.8,1740.0,29.2,110.0,0,0,0,0,0,0
L,301.4,310.8,1770.0,24.1,112.0,0,0,0,0,0,0
H,301.3,310.6,1527.0,44.0,114.0,0,0,0,0,0,0
L,301.3,310.7,1516.0,46.0,119.0,0,0,0,0,0,0
L,301.4,310.7,1616.0,36.5,121.0,0,0,0,0,0,0
L,301.4,310.7,1786.0,26.1,123.0,0,0,0,0,0,0
L,301.4,310.8,1389.0,52.7,125.0,0,0,0,0,0,0
M,301.4,310.7,1639.0,29.8,127.0,0,0,0,0,0,0
H,301.5,310.7,1394.0,46.7,130.0,0,0,0,0,0,0
L,301.5,310.7,1686.0,27.9,135.0,0,0,0,0,0,0
M,301.5,310.6,1638.0,31.9,137.0,0,0,0,0,0,0
M,301.5,310.6,1447.0,41.9,140.0,0,0,0,0,0,0
H,301.5,310.6,1512.0,39.0,143.0,0,0,0,0,0,0
L,301.6,310.8,1961.0,21.8,148.0,0,0,0,0,0,0
L,301.5,310.7,1596.0,35.4,150.0,0,0,0,0,0,0
M,301.5,310.7,1871.0,21.3,152.0,0,0,0,0,0,0
L,301.5,310.7,1942.0,20.5,155.0,0,0,0,0,0,0
L,301.4,310.6,1557.0,38.2,157.0,0,0,0,0,0,0
L,301.4,310.6,1550.0,36.8,159.0,0,0,0,0,0,0
L,301.3,310.6,1966.0,22.6,161.0,0,0,0,0,0,0
M,301.3,310.6,1499.0,36.1,163.0,0,0,0,0,0,0
L,301.3,310.6,1521.0,36.3,166.0,0,0,0,0,0,0
M,301.4,310.7,1375.0,42.0,168.0,0,0,0,0,0,0
L,301.4,310.6,1634.0,31.1,171.0,0,0,0,0,0,0
M,301.3,310.6,1378.0,49.4,173.0,0,0,0,0,0,0
L,301.4,310.7,1428.0,53.7,176.0,0,0,0,0,0,0
M,301.4,310.6,1855.0,25.3,178.0,0,0,0,0,0,0
L,301.4,310.6,1578.0,33.0,181.0,0,0,0,0,0,0
M,301.4,310.5,1451.0,45.3,183.0,0,0,0,0,0,0
L,301.5,310.5,1644.0,34.9,186.0,0,0,0,0,0,0
L,301.4,310.4,1388.0,45.3,188.0,0,0,0,0,0,0
L,301.4,310.4,1543.0,40.9,190.0,0,0,0,0,0,0
L,301.3,310.4,1501.0,41.6,192.0,0,0,0,0,0,0
L,301.3,310.4,1507.0,39.1,194.0,0,0,0,0,0,0
L,301.4,310.4,1559.0,36.0,196.0,0,0,0,0,0,0
L,301.5,310.5,1528.0,35.7,198.0,0,0,0,0,0,0
M,301.5,310.5,1503.0,38.2,200.0,0,0,0,0,0,0
L,301.5,310.5,1372.0,44.0,203.0,0,0,0,0,0,0
M,301.5,310.5,1600.0,32.8,205.0,0,0,0,0,0,0
L,301.5,310.6,1453.0,44.0,208.0,0,0,0,0,0,0
M,301.6,310.7,1813.0,24.6,210.0,0,0,0,0,0,0
L,301.6,310.7,1457.0,40.4,213.0,0,0,0,0,0,0
M,301.6,310.6,1553.0,38.9,0.0,0,0,0,0,0,0
L,301.7,310.7,1763.0,25.9,3.0,0,0,0,0,0,0
L,301.7,310.7,2023.0,20.9,5.0,0,0,0,0,0,0
M,301.6,310.7,1457.0,47.8,7.0,0,0,0,0,0,0
L,301.6,310.7,1679.0,29.5,10.0,0,0,0,0,0,0
L,301.6,310.6,2103.0,19.7,12.0,0,0,0,0,0,0
M,301.5,310.7,1460.0,38.6,14.0,0,0,0,0,0,0
M,301.5,310.7,1454.0,39.4,17.0,0,0,0,0,0,0
L,301.5,310.6,1481.0,46.8,20.0,0,0,0,0,0,0
L,301.5,310.7,1424.0,51.1,22.0,0,0,0,0,0,0
L,301.6,310.7,1494.0,39.5,24.0,0,0,0,0,0,0
M,301.5,310.6,1424.0,47.0,26.0,0,0,0,0,0,0
M,301.5,310.7,1347.0,47.9,29.0,0,0,0,0,0,0
L,301.5,310.6,1374.0,46.7,32.0,0,0,0,0,0,0
M,301.5,310.6,1403.0,47.4,34.0,0,0,0,0,0,0
M,301.5,310.6,1573.0,37.4,37.0,0,0,0,0,0,0
M,301.6,310.6,1691.0,30.1,40.0,0,0,0,0,0,0
H,301.5,310.5,1538.0,44.3,43.0,0,0,0,0,0,0
L,301.5,310.5,1556.0,39.1,48.0,0,0,0,0,0,0
M,301.5,310.4,1593.0,36.8,50.0,0,0,0,0,0,0
L,301.5,310.4,1474.0,39.9,53.0,0,0,0,0,0,0
L,301.5,310.4,1543.0,34.0,55.0,0,0,0,0,0,0
H,301.5,310.5,1587.0,33.8,57.0,0,0,0,0,0,0
L,301.6,310.6,1222.0,70.0,62.0,0,0,0,0,0,0
L,301.7,310.6,1513.0,41.1,64.0,0,0,0,0,0,0
L,301.7,310.6,1660.0,28.7,66.0,0,0,0,0,0,0
L,301.7,310.6,1545.0,42.1,68.0,0,0,0,0,0,0
M,301.7,310.6,1380.0,45.8,70.0,0,0,0,0,0,0
L,301.6,310.6,1321.0,60.8,73.0,0,0,0,0,0,0
M,301.6,310.6,1309.0,65.8,75.0,1,0,0,1,0,0
M,301.7,310.7,1627.0,31.3,78.0,0,0,0,0,0,0
M,301.6,310.7,1791.0,23.8,81.0,0,0,0,0,0,0
M,301.7,310.7,1861.0,21.8,84.0,0,0,0,0,0,0
L,301.7,310.7,1493.0,51.1,87.0,0,0,0,0,0,0
M,301.7,310.7,1442.0,41.1,89.0,0,0,0,0,0,0
L,301.7,310.7,1532.0,39.8,92.0,0,0,0,0,0,0
M,301.6,310.7,1421.0,44.4,94.0,0,0,0,0,0,0
L,301.6,310.6,1613.0,42.5,97.0,0,0,0,0,0,0
M,301.7,310.6,1876.0,22.1,99.0,0,0,0,0,0,0
L,301.6,310.5,1593.0,34.5,102.0,0,0,0,0,0,0
L,301.6,310.5,1397.0,49.4,104.0,0,0,0,0,0,0
M,301.6,310.5,1414.0,49.3,106.0,0,0,0,0,0,0
M,301.5,310.4,1378.0,55.3,109.0,0,0,0,0,0,0
L,301.4,310.4,1301.0,51.2,112.0,0,0,0,0,0,0
M,301.5,310.5,1737.0,29.3,114.0,0,0,0,0,0,0
L,301.5,310.5,1396.0,44.5,117.0,0,0,0,0,0,0
L,301.5,310.5,1534.0,39.3,119.0,0,0,0,0,0,0
M,301.5,310.5,1774.0,25.5,121.0,0,0,0,0,0,0
H,301.5,310.5,1453.0,48.0,124.0,0,0,0,0,0,0
L,301.5,310.5,1453.0,44.2,129.0,0,0,0,0,0,0
L,301.4,310.5,1380.0,48.4,131.0,0,0,0,0,0,0
L,301.4,310.4,1334.0,43.2,133.0,0,0,0,0,0,0
L,301.5,310.5,1702.0,28.7,135.0,0,0,0,0,0,0
L,301.6,310.6,1431.0,37.5,137.0,0,0,0,0,0,0
M,301.5,310.5,1308.0,60.5,139.0,0,0,0,0,0,0
L,301.5,310.6,1565.0,43.9,142.0,0,0,0,0,0,0
M,301.5,310.4,1486.0,39.6,144.0,0,0,0,0,0,0
L,301.5,310.5,1479.0,34.2,147.0,0,0,0,0,0,0
L,301.5,310.5,1927.0,22.4,149.0,0,0,0,0,0,0
L,301.5,310.4,1488.0,41.1,151.0,0,0,0,0,0,0
M,301.5,310.4,1350.0,54.9,153.0,0,0,0,0,0,0
L,301.6,310.4,1561.0,35.3,156.0,0,0,0,0,0,0
M,301.5,310.4,1276.0,55.6,158.0,0,0,0,0,0,0
H,301.5,310.4,1580.0,35.7,161.0,0,0,0,0,0,0
M,301.4,310.3,1610.0,29.1,166.0,0,0,0,0,0,0
L,301.4,310.3,2203.0,16.6,169.0,0,0,0,0,0,0
L,301.4,310.3,1639.0,32.7,171.0,0,0,0,0,0,0
M,301.4,310.4,1553.0,44.7,173.0,0,0,0,0,0,0
L,301.4,310.3,1374.0,47.6,176.0,0,0,0,0,0,0
L,301.4,310.4,1430.0,50.9,178.0,0,0,0,0,0,0
L,301.3,310.3,1626.0,31.3,180.0,0,0,0,0,0,0
H,301.4,310.5,1421.0,43.8,182.0,0,0,0,0,0,0
M,301.3,310.4,1501.0,39.8,187.0,0,0,0,0,0,0
M,301.3,310.4,2093.0,18.7,190.0,0,0,0,0,0,0
L,301.3,310.4,1504.0,47.2,193.0,0,0,0,0,0,0
L,301.3,310.4,1538.0,38.4,195.0,0,0,0,0,0,0
L,301.3,310.4,1440.0,41.5,197.0,0,0,0,0,0,0
L,301.3,310.4,1414.0,51.4,199.0,0,0,0,0,0,0
H,301.4,310.5,1536.0,39.9,201.0,0,0,0,0,0,0
L,301.4,310.5,1476.0,39.2,206.0,0,0,0,0,0,0
L,301.4,310.5,1571.0,33.9,208.0,0,0,0,0,0,0
L,301.5,310.6,1998.0,20.2,210.0,0,0,0,0,0,0
L,301.5,310.6,1357.0,42.1,212.0,0,0,0,0,0,0
L,301.6,310.7,1424.0,50.5,214.0,0,0,0,0,0,0
L,301.6,310.7,1380.0,51.8,216.0,1,0,0,0,1,0
L,301.5,310.7,1618.0,35.5,218.0,0,0,0,0,0,0
L,301.5,310.6,1579.0,28.0,220.0,0,0,0,0,0,0
L,301.5,310.7,1423.0,44.0,222.0,0,0,0,0,0,0
L,301.5,310.7,1435.0,38.5,224.0,0,0,0,0,0,0
M,301.5,310.7,1336.0,65.6,0.0,1,0,0,1,0,0
L,301.6,310.8,1392.0,42.4,3.0,0,0,0,0,0,0
L,301.5,310.8,1417.0,49.7,5.0,0,0,0,0,0,0
L,301.4,310.7,1425.0,45.1,7.0,0,0,0,0,0,0
L,301.5,310.8,1512.0,38.9,9.0,0,0,0,0,0,0
L,301.5,310.9,1318.0,50.6,11.0,0,0,0,0,0,0
L,301.6,310.9,1538.0,40.4,13.0,0,0,0,0,0,0
L,301.6,310.9,1532.0,43.6,15.0,0,0,0,0,0,0
L,301.7,311.0,1715.0,24.8,17.0,0,0,0,0,0,0
L,301.7,311.0,1700.0,28.7,19.0,0,0,0,0,0,0
L,301.7,311.0,1548.0,40.3,21.0,0,0,0,0,0,0
L,301.7,311.0,1546.0,43.0,23.0,0,0,0,0,0,0
L,301.7,311.0,1343.0,49.2,25.0,0,0,0,0,0,0
M,301.7,311.0,1510.0,47.8,27.0,0,0,0,0,0,0
M,301.8,311.0,1839.0,23.6,30.0,0,0,0,0,0,0
M,301.8,311.0,1756.0,26.7,33.0,0,0,0,0,0,0
M,301.7,310.9,1300.0,62.7,36.0,0,0,0,0,0,0
M,301.7,311.0,1311.0,55.8,39.0,0,0,0,0,0,0
L,301.7,310.9,1636.0,31.3,42.0,0,0,0,0,0,0
L,301.6,310.9,1643.0,34.1,44.0,0,0,0,0,0,0
L,301.6,310.8,1418.0,44.7,46.0,0,0,0,0,0,0
M,301.7,310.8,1516.0,40.4,48.0,0,0,0,0,0,0
H,301.6,310.9,1419.0,50.2,51.0,0,0,0,0,0,0
L,301.6,310.9,1623.0,34.1,56.0,0,0,0,0,0,0
M,301.6,310.8,1664.0,32.0,58.0,0,0,0,0,0,0
M,301.5,310.7,1744.0,28.2,61.0,0,0,0,0,0,0
M,301.5,310.7,1510.0,36.0,64.0,0,0,0,0,0,0
M,301.5,310.6,1382.0,58.1,67.0,0,0,0,0,0,0
L,301.4,310.6,1381.0,46.1,70.0,0,0,0,0,0,0
L,301.3,310.6,1556.0,39.0,72.0,0,0,0,0,0,0
M,301.4,310.6,1464.0,37.4,74.0,0,0,0,0,0,0
L,301.4,310.6,1481.0,37.6,77.0,0,0,0,0,0,0
L,301.5,310.7,1323.0,49.7,79.0,0,0,0,0,0,0
L,301.5,310.7,1426.0,46.1,81.0,0,0,0,0,0,0
H,301.4,310.7,1516.0,36.4,83.0,0,0,0,0,0,0
L,301.3,310.6,1416.0,45.2,88.0,0,0,0,0,0,0
L,301.3,310.6,1440.0,53.8,90.0,0,0,0,0,0,0
L,301.3,310.6,1576.0,30.4,92.0,0,0,0,0,0,0
L,301.3,310.6,1387.0,53.6,94.0,0,0,0,0,0,0
M,301.4,310.6,1464.0,48.6,96.0,0,0,0,0,0,0
L,301.4,310.6,2137.0,18.0,99.0,0,0,0,0,0,0
M,301.4,310.6,1431.0,40.6,101.0,0,0,0,0,0,0
L,301.3,310.6,1458.0,48.0,104.0,0,0,0,0,0,0
L,301.4,310.7,1280.0,61.0,106.0,0,0,0,0,0,0
L,301.4,310.7,1657.0,28.7,108.0,0,0,0,0,0,0
M,301.4,310.6,1565.0,36.1,110.0,0,0,0,0,0,0
L,301.3,310.6,1560.0,36.8,113.0,0,0,0,0,0,0
M,301.5,310.7,1359.0,47.1,115.0,0,0,0,0,0,0
L,301.5,310.8,1500.0,41.0,118.0,0,0,0,0,0,0
L,301.5,310.8,1785.0,25.5,120.0,0,0,0,0,0,0
L,301.5,310.9,1891.0,23.2,122.0,0,0,0,0,0,0
H,301.5,310.9,1524.0,40.4,124.0,0,0,0,0,0,0
M,301.6,311.0,1431.0,42.3,129.0,0,0,0,0,0,0
L,301.6,310.9,1385.0,51.2,132.0,0,0,0,0,0,0
L,301.7,311.0,1503.0,44.8,134.0,0,0,0,0,0,0
M,301.7,311.0,1311.0,46.8,136.0,0,0,0,0,0,0
M,301.6,310.9,1575.0,40.1,139.0,0,0,0,0,0,0
L,301.6,311.0,1485.0,40.1,142.0,0,0,0,0,0,0
L,301.7,311.0,1527.0,42.2,144.0,0,0,0,0,0,0
M,301.7,311.0,1537.0,33.5,146.0,0,0,0,0,0,0
H,301.8,311.1,1463.0,50.1,149.0,0,0,0,0,0,0
L,301.7,311.2,1482.0,43.6,154.0,0,0,0,0,0,0
L,301.8,311.2,1417.0,55.9,156.0,0,0,0,0,0,0
M,301.7,311.1,1506.0,39.5,158.0,0,0,0,0,0,0
H,301.7,311.2,1639.0,30.0,161.0,0,0,0,0,0,0
L,301.7,311.2,1418.0,38.0,166.0,0,0,0,0,0,0
M,301.7,311.0,1298.0,58.1,168.0,0,0,0,0,0,0
M,301.8,311.1,1395.0,44.6,171.0,0,0,0,0,0,0
M,301.7,311.1,1578.0,40.5,174.0,0,0,0,0,0,0
M,301.8,311.1,1597.0,29.8,177.0,0,0,0,0,0,0
H,301.7,311.0,2016.0,19.3,180.0,0,0,0,0,0,0
L,301.7,311.0,1585.0,35.9,185.0,0,0,0,0,0,0
M,301.7,311.0,1505.0,44.0,187.0,0,0,0,0,0,0
M,301.7,311.0,1505.0,37.1,190.0,0,0,0,0,0,0
L,301.6,310.9,1706.0,29.5,193.0,0,0,0,0,0,0
L,301.6,310.9,1385.0,50.7,195.0,0,0,0,0,0,0
L,301.8,311.1,1495.0,36.9,197.0,0,0,0,0,0,0
M,301.8,311.1,1663.0,31.6,199.0,0,0,0,0,0,0
L,301.8,311.2,1840.0,26.6,202.0,0,0,0,0,0,0
L,301.8,311.2,1822.0,26.2,204.0,0,0,0,0,0,0
L,301.7,311.1,1644.0,32.8,206.0,0,0,0,0,0,0
L,301.7,311.0,1441.0,44.3,208.0,1,1,0,0,0,0
L,301.5,310.9,1451.0,40.6,0.0,0,0,0,0,0,0
L,301.5,310.9,1400.0,50.8,2.0,0,0,0,0,0,0
L,301.4,310.8,1362.0,53.2,4.0,0,0,0,0,0,0
M,301.4,310.8,1782.0,26.5,6.0,0,0,0,0,0,0
L,301.4,310.9,1536.0,38.3,9.0,0,0,0,0,0,0
L,301.5,310.9,1580.0,32.3,11.0,0,0,0,0,0,0
M,301.4,311.0,1427.0,43.2,13.0,0,0,0,0,0,0
L,301.3,310.9,1509.0,41.7,16.0,0,0,0,0,0,0
H,301.3,310.8,1434.0,39.5,18.0,0,0,0,0,0,0
L,301.2,310.8,1392.0,52.6,23.0,0,0,0,0,0,0
M,301.3,310.8,1509.0,40.1,25.0,0,0,0,0,0,0
M,301.2,310.7,1962.0,22.5,28.0,0,0,0,0,0,0
L,301.3,310.7,1536.0,39.3,31.0,0,0,0,0,0,0
L,301.3,310.8,1381.0,47.9,33.0,0,0,0,0,0,0
H,301.2,310.7,1747.0,27.3,35.0,0,0,0,0,0,0
L,301.2,310.6,1670.0,30.0,40.0,0,0,0,0,0,0
L,301.3,310.6,1451.0,47.5,42.0,0,0,0,0,0,0
L,301.2,310.7,1951.0,21.3,44.0,0,0,0,0,0,0
M,301.3,310.7,1819.0,25.5,46.0,0,0,0,0,0,0
M,301.3,310.8,1372.0,54.2,49.0,0,0,0,0,0,0
L,301.3,310.8,1560.0,38.5,52.0,0,0,0,0,0,0
M,301.3,310.8,1494.0,35.3,54.0,0,0,0,0,0,0
L,301.3,310.8,1531.0,53.4,57.0,0,0,0,0,0,0
L,301.3,310.8,1450.0,46.9,59.0,0,0,0,0,0,0
M,301.3,310.7,1391.0,52.5,61.0,0,0,0,0,0,0
L,301.2,310.6,1389.0,45.3,64.0,0,0,0,0,0,0
L,301.2,310.6,1409.0,50.9,66.0,0,0,0,0,0,0
H,301.1,310.6,1388.0,58.5,68.0,0,0,0,0,0,0
M,301.1,310.6,1410.0,43.9,73.0,0,0,0,0,0,0
M,301.1,310.5,1646.0,30.7,76.0,0,0,0,0,0,0
M,301.1,310.7,2219.0,16.7,79.0,0,0,0,0,0,0
L,301.2,310.7,1551.0,41.2,82.0,0,0,0,0,0,0
L,301.2,310.6,1811.0,24.0,84.0,0,0,0,0,0,0
L,301.3,310.7,1608.0,31.4,86.0,0,0,0,0,0,0
L,301.3,310.8,1428.0,55.2,88.0,0,0,0,0,0,0
L,301.4,310.8,1477.0,50.4,90.0,0,0,0,0,0,0
M,301.3,310.7,1300.0,58.3,92.0,0,0,0,0,0,0
M,301.2,310.7,1615.0,34.9,95.0,0,0,0,0,0,0
L,301.2,310.7,1676.0,32.4,98.0,0,0,0,0,0,0
M,301.1,310.7,2636.0,12.2,100.0,1,0,0,1,0,0
M,301.1,310.6,1310.0,48.8,103.0,0,0,0,0,0,0
L,301.1,310.7,1334.0,48.2,106.0,0,0,0,0,0,0
M,301.1,310.7,1621.0,31.0,108.0,0,0,0,0,0,0
M,301.1,310.7,1367.0,43.4,111.0,0,0,0,0,0,0
L,301.0,310.6,1588.0,33.7,114.0,0,0,0,0,0,0
M,301.0,310.7,1497.0,37.6,116.0,0,0,0,0,0,0
L,301.1,310.8,1608.0,32.9,119.0,0,0,0,0,0,0
L,301.0,310.8,1549.0,41.4,121.0,0,0,0,0,0,0
L,301.0,310.7,1391.0,45.0,123.0,0,0,0,0,0,0
L,300.9,310.8,1490.0,38.1,125.0,0,0,0,0,0,0
L,301.0,310.7,1727.0,34.5,127.0,0,0,0,0,0,0
L,300.9,310.6,1504.0,46.4,129.0,0,0,0,0,0,0
L,300.9,310.6,1350.0,53.8,131.0,0,0,0,0,0,0
M,300.9,310.7,1420.0,43.0,133.0,0,0,0,0,0,0
H,300.8,310.6,1465.0,44.1,136.0,0,0,0,0,0,0
L,300.9,310.7,1427.0,44.1,141.0,0,0,0,0,0,0
L,300.9,310.7,1477.0,43.2,143.0,0,0,0,0,0,0
M,301.0,310.7,1493.0,48.1,145.0,0,0,0,0,0,0
M,301.0,310.7,1657.0,29.9,148.0,0,0,0,0,0,0
L,300.9,310.7,1359.0,46.0,151.0,0,0,0,0,0,0
L,300.8,310.6,1551.0,34.5,153.0,0,0,0,0,0,0
M,300.8,310.6,1545.0,37.5,155.0,0,0,0,0,0,0
M,300.9,310.6,1709.0,29.2,158.0,0,0,0,0,0,0
M,300.9,310.7,1268.0,56.3,161.0,0,0,0,0,0,0
L,300.9,310.7,1740.0,25.3,164.0,0,0,0,0,0,0
L,301.0,310.9,1828.0,25.1,166.0,0,0,0,0,0,0
L,301.0,310.9,1822.0,21.6,168.0,0,0,0,0,0,0
M,301.0,310.9,1515.0,41.8,170.0,0,0,0,0,0,0
L,301.0,310.9,1392.0,52.9,173.0,0,0,0,0,0,0
H,300.9,310.9,1474.0,35.7,175.0,0,0,0,0,0,0
M,301.0,310.9,1359.0,53.4,180.0,0,0,0,0,0,0
L,301.1,311.0,1565.0,52.3,183.0,0,0,0,0,0,0
M,301.1,311.1,1384.0,42.5,185.0,0,0,0,0,0,0
L,301.1,311.1,1387.0,53.1,188.0,0,0,0,0,0,0
L,301.1,311.0,1378.0,51.1,190.0,0,0,0,0,0,0
L,301.0,310.9,1809.0,25.7,192.0,0,0,0,0,0,0
H,301.1,311.0,1339.0,52.8,194.0,0,0,0,0,0,0
M,301.0,311.0,1423.0,38.6,199.0,0,0,0,0,0,0
L,301.1,311.1,1570.0,41.6,202.0,0,0,0,0,0,0
L,301.2,311.2,1558.0,34.1,204.0,0,0,0,0,0,0
L,301.1,311.1,1799.0,21.7,206.0,0,0,0,0,0,0
M,301.1,311.2,1591.0,35.0,208.0,0,0,0,0,0,0
L,301.2,311.2,1635.0,29.6,211.0,0,0,0,0,0,0
L,301.3,311.3,1509.0,42.5,213.0,0,0,0,0,0,0
M,301.3,311.4,1838.0,23.2,215.0,0,0,0,0,0,0
M,301.3,311.5,1648.0,32.4,0.0,0,0,0,0,0,0
M,301.2,311.5,1498.0,49.5,3.0,0,0,0,0,0,0
L,301.2,311.4,1757.0,28.0,6.0,0,0,0,0,0,0
M,301.1,311.3,1389.0,53.3,8.0,0,0,0,0,0,0
L,301.1,311.3,1498.0,37.6,11.0,0,0,0,0,0,0
M,301.0,311.2,1521.0,35.8,13.0,0,0,0,0,0,0
M,301.0,311.2,1394.0,41.3,16.0,0,0,0,0,0,0
H,301.0,311.2,1602.0,32.7,19.0,0,0,0,0,0,0
L,300.9,311.1,1417.0,40.7,24.0,0,0,0,0,0,0
L,301.0,311.2,1511.0,42.9,26.0,0,0,0,0,0,0
M,301.1,311.3,1654.0,30.7,28.0,0,0,0,0,0,0
M,301.1,311.3,1836.0,22.8,31.0,0,0,0,0,0,0
L,301.1,311.3,1622.0,35.6,34.0,0,0,0,0,0,0
L,301.0,311.2,1467.0,45.4,36.0,0,0,0,0,0,0
M,301.1,311.3,1909.0,22.7,38.0,0,0,0,0,0,0
L,301.1,311.2,1910.0,20.2,41.0,0,0,0,0,0,0
H,301.1,311.3,2207.0,16.6,43.0,0,0,0,0,0,0
M,301.1,311.2,1384.0,49.4,48.0,0,0,0,0,0,0
L,301.1,311.3,1630.0,29.5,51.0,0,0,0,0,0,0
L,301.1,311.3,1268.0,60.0,53.0,0,0,0,0,0,0
L,301.1,311.4,1531.0,38.7,55.0,0,0,0,0,0,0
M,301.0,311.3,1454.0,41.5,57.0,0,0,0,0,0,0
L,301.0,311.3,1342.0,50.9,60.0,0,0,0,0,0,0
L,301.0,311.2,1363.0,46.3,62.0,0,0,0,0,0,0
L,301.0,311.2,1412.0,42.1,64.0,0,0,0,0,0,0
H,301.0,311.3,1597.0,39.2,66.0,0,0,0,0,0,0
L,301.0,311.3,1349.0,47.0,71.0,0,0,0,0,0,0
L,301.0,311.3,1472.0,35.3,73.0,0,0,0,0,0,0
L,301.0,311.4,1478.0,39.5,75.0,0,0,0,0,0,0
H,300.9,311.3,1295.0,58.9,77.0,0,0,0,0,0,0
M,300.8,311.2,1592.0,32.9,82.0,0,0,0,0,0,0
L,300.8,311.2,1430.0,54.4,85.0,0,0,0,0,0,0
M,300.8,311.2,1488.0,40.1,87.0,0,0,0,0,0,0
H,300.9,311.2,1518.0,35.0,90.0,0,0,0,0,0,0
H,300.8,311.2,2237.0,17.0,95.0,0,0,0,0,0,0
M,300.9,311.3,1801.0,24.6,100.0,0,0,0,0,0,0
L,301.0,311.4,1573.0,37.6,103.0,0,0,0,0,0,0
L,300.9,311.4,2073.0,21.4,105.0,0,0,0,0,0,0
L,300.9,311.3,1953.0,19.4,107.0,0,0,0,0,0,0
L,300.8,311.2,1492.0,39.0,109.0,0,0,0,0,0,0
L,300.8,311.2,1397.0,48.7,111.0,0,0,0,0,0,0
M,300.8,311.3,1465.0,43.2,113.0,0,0,0,0,0,0
L,300.8,311.3,1782.0,26.9,116.0,0,0,0,0,0,0
M,300.9,311.4,1434.0,45.4,118.0,0,0,0,0,0,0
H,300.9,311.4,1387.0,42.7,121.0,0,0,0,0,0,0
M,300.9,311.4,1532.0,41.5,126.0,0,0,0,0,0,0
L,300.9,311.5,1505.0,41.1,129.0,0,0,0,0,0,0
L,301.0,311.6,1440.0,43.3,131.0,0,0,0,0,0,0
L,301.0,311.6,1470.0,43.4,133.0,0,0,0,0,0,0
L,301.1,311.7,1408.0,46.3,135.0,0,0,0,0,0,0
